N,freq,P,freq
不生是國安問題,2,想生小孩的,3
不能給小孩好的,2,打算生小孩,1
不願意被生出來,3,喜歡小孩的,3
不打算生小孩,5,生小孩的,42
不會生小孩的,4,要生小孩,36
不想生小孩的,3,想生小孩,14
不想生養小孩,2,喜歡小孩,16
不見得會照顧,2,會生小孩,2
不優渥的環境,2,想生孩子,1
不富裕的家庭,2,想要小孩,4
不喜歡小孩的,2,生小孩,229
不結婚的理由,2,結婚的,8
不適合生小孩,2,想結婚,6
不想生小孩,14,想生的,3
不生小孩的,8,打算生,1
不喜歡小孩,7,結婚,148
不要生小孩,6,想生,39
不想生孩子,5,要生,48
不會生小孩,5,喜歡,35
不結婚的人,4,快樂,22
不小心懷孕,2,敢生,10
不想要小孩,2,想結,6
不生小孩,32,會生,6
不想結婚,9,,
不結婚的,8,,
不想生的,8,,
不打算生,5,,
不婚不生,5,,
不生的,8,,
不會生,7,,
不結婚,24,,
不想生,38,,
不要生,17,,
不喜歡,13,,
不想結,9,,
不敢生,8,,
不快樂,4,,
不生,62,,
不孕,3,,
