marks,n,author,title,date,content_ques
0,1,jadishcat (菜喵),[閒聊] 看了會想生小孩的影片,Mon May 10 22:13:53 2021,最近看了許伯一家人擠一個房間的故事怕被當葉配 不附連結很克難卻幸福也能動腦筋做很多不用花大錢的趣事動了想生第二個的念頭電影蒙上你的眼一個媽媽帶著兩個小孩逃難雖然兩兄妹沒有血緣關係互相扶持 看著覺得好溫馨啊現在第一個也四歲如果努力點應該可以差個6歲不過女兒自從上幼稚園對我要不要再生不感興趣她說她在學校已經有個妹妹會幫她提書包還有一個姐姐會陪她玩她意願不高 加上我之前流產過最希望我生的只有住很遠的公婆大家有看過什麼影片動了想生寶寶的念頭嗎
0,6,opopkc (焗烤布丁),Re: [難過] 不結婚不生小孩只想養貓當家人不好嗎？,Sun Apr 4 11:32:51 2021,魯叔這邊分享個案例給妳參考好了魯叔小時候常常去姑姑家玩那個時候的她意氣風發沒結婚不靠男人三十出頭就有自己的房子應該是當時最成功的新時代女性之一感情上據說也是不少人追畢竟我姑姑年輕的時候也算頗有姿色這種事業情場兩得意的狀況下她也不在乎有沒有結婚然後房子也買在當時的閨蜜家旁邊隨著年紀越來越大閨蜜的孩子也出生了即使住的近也不再像以前那樣常常往來了自己一個人寂寞了就會想要養寵物陪伴這個時候有朋友給了她一隻寵物狗養但也不知道是不是長期以來都一個人生活性格變得暴躁還是本來就如此她給狗梳毛的時候因為毛髮卡住太過用力的狀況下狗因為疼痛咬了她她就開始摔打狗了後續她也就不那麼喜歡狗了狗就被送回原主人那邊再更老一點後身體出現各種狀況某次在家暈倒我們家人定期去她家巡視的時候發現並幫她送醫如果沒人發現的狀況下應該就發生悲劇了最後給原po你努不努力上不上進魯叔不知道也沒資格斷定但是分享這個案例讓妳參考看看這是不是以後妳要的生活當然這只是一種單身生活的可能性妳可以參考參考就好另外本文不願意讓記者轉載或以任何方式分享在其他網站
0,8,goodrink (good),Re: [難過] 不結婚不生小孩只想養貓當家人不好嗎？,Sat Apr 3 22:49:18 2021, 女生的話可以 女生的話可以 女生的話可以 女生的話可以 女生的話可以 女生的話可以 原po這些條件普妹以下的話 沒人在乎普妹以上的話 早就被捧上天了所以重點在女生的話 很OK男生的話 就很不及格
0,9,than09138 (tony wu),[難過] 不結婚不生小孩只想養貓當家人不好嗎？,Sat Apr 3 20:42:16 2021,如題我也30歲了 月薪不多五萬左右 總存款不多大概150萬左右最多只能付房子的頭期款然後買了房子之後不結婚不生子 只想養隻貓陪我一起度過人生這樣的人生會被大家罵沒有上進心嗎 沒有的未來嗎可是我的小小願望就是買間2房1廳的小坪數大樓房間然後養隻貓或許能在養隻狗陪年輕鬆過日子這種願望真的會被親戚朋友說我很不上進不努力嗎
0,19,xxxlong (),[討論] 到底是有錢還沒錢比較喜歡生小孩？,Wed Jan 6 22:41:48 2021,常常會聽到酸民們抱怨台灣景氣差低薪房價高因為養自己都有困難了根本不敢生小孩所以台灣生育率才會全世界倒數解決少子化的方法就是提高薪資並打房讓年輕人買得起房但前面5寶爸的討論文酸民又說窮人特別愛生一下沒錢生不起一下又說沒錢特別愛生搞得我好亂啊其實正解是生活愈好因為自己爽習慣了愈不愛生小孩降低自己生活品質爺爺奶奶那年代許多人連米飯都吃不起但隨便都生五個以上父母那年代正值經濟高速發展不只吃得起飯和肉還能買車代步但多數生個到我這年代雖然經濟成長沒那麼快但過得更爽吃喝玩樂靠手機一指搞定不用自己出門多數不生或只生一個我的同溫層30多歲3成已買房6成買得起房但還不想買共9成沒房子問題但也只有3成有生小孩所以不要再把不生的理由牽拖經濟和房價了說穿了就是過得爽不想降低品質才不生
0,20,PReDeSTiNeＤ (趕夜市嫩妮 焗烤蝸牛左),Re: [閒聊] 為什麼要生小孩,Tue Dec 29 01:45:05 2020,朋友寫的一篇文 貼出來給大家看看 The Meaning of Life 追根究柢 生命最基本的意義就是 生存 與 繁衍 這幾乎是所有地球上生物本能 告子說食色性也 正是此義 而蔣公也說生命的意義是為了創造宇宙繼起之生命 但他們從來沒想過為什麼會這樣 為什麼生物天生就是會有這些天性本能 其實從小我就有種感覺 地球不過是個巨型培養皿 而地球上的所有生物都不過是某種高超智慧所進行的生化實驗品 並賦予實驗品與生俱來追求生與殖之天性本能以從事觀察 我不知道在高醫吉野家那場激辯是否曾對你提出這個觀點 我當時至少有說也許有某種外星智慧生物視我們就如我們視螞蟻般渺小 可以居高臨下對我們任意觀察研究 當時你對我嗤之以鼻覺得為什麼要去想像創造出一個更高智慧的存在來創造地球上的生命 我是不知道你現在的觀點如何 不過既然你已經受洗信仰上帝 我想你應該也會尊重教義是上帝創造我們的 基本上基督教天主教是不否認有個更高智慧存在並且創造地球上所有生命的 這想法和我的觀點不謀而合 祇是基督教天主教將祂喚為上帝 其實這高等智慧的形態樣貌未必就是很巨大 未必就是物質形態 我們基本上還無法理解也無法否定是否宇宙中有能量形態生命的存在 以人類目前科技智慧尚無法想像能量形態生命會是什麼態樣 我覺得有很大程度是受限于對地球上生命形態的認知 認為生物就是要飲食等等種種 難以跳脫框架去想像出一種不用飲食不用像地球上生物這樣過活的生命形態 也許宇宙中真有恆久存在長生不老的能量形態生命 祇是我們難以輕易察覺而已 我曾說看不見不代表就不存在 若科學家因為看不見原子就否定它存在 我們大概到今天還不知道有所謂原子的存在 在醫學上對瀕死經驗的研究 地球人的瀕死經驗很類似無分性別人種國籍宗教習俗如出一轍 共同點是會看到人生過去種種如走馬燈閃過 經過一道通道 到一個極美的境界 看到一個發出祥和溫暖光線的光體基本上我覺得這就是所有信仰有創造者宗教所體驗到的創造者 至于是否就是創造地球上生命的創造者 我覺得也有極大可能是 另外月球的存在本身就是一個極大的謎團 小學時在小叮噹就有提到過月背文明的想像 因為月球向來皆以同一面面對地球 亙古不變 似乎是在觀察地球上的種種動靜 又據天文學家研究 罕有衛星如月球距離行星如此近而日月與地球之距離及大小又有諸多巧合 你記得高醫吉野家那場激辯是在我們剛看完 The Truman Show 之後 我之所以會在那時間點和你辯論進化論創造論並提出高等智慧視我們如螻蟻觀點並非憑空天馬行空而來 你想像高等智慧也許也有如你一般病理科醫師每天的工作內容就是用顯微鏡觀察生體 我說 地球是培養皿 有沒有可能 月球是顯微鏡 呢 那恭喜你找到同行了 而且祂是個極高等智慧的存在 就如 Jim Carrey 在 TTS 從小到大都被觀察著也許祂也正無時無刻孜孜不倦地觀察著我們 你可能會覺得我這是被害妄想症狀的極致 比林爺說被國安局用電磁波攻擊還天馬行空 不過你也無法完全否定此想像的可能性 你不要以為我看 LBJ 的 關鍵報告 看太多 我目前沒有電視 就算之前有電視 當時也還沒這節目我也不常看電視 最常看的可能是海綿寶寶 基本上那節目所討論的事物大部分我在小學時代就已經大量從各種書籍上涉獵到了 他們只是加一些新資訊新內容 基本梗概還是沒有變的 其實我對你蠻失望的 寫了這麼多封信給你就只回過我兩封可能你工作極忙 可能內容你不感興趣 不過最失望的是 我覺得你變了 你似乎已經不如國高中時代的你 我記得你有句饒富意味的名言錦句 如果人生過程都已經計畫安排好了 那不是很無趣嗎 但我怎麼覺得現在的你已經被凡塵俗世被被安排好的地球人給同化了 就如 Jim Carrey 在 The Truman Show 中一樣生老病死老早就被安排好了 你的人生道路已經受限在一定格局之內了照著地球人認為生活在地球上最美好的道路前進 你已經在框架之中 劃地自限自我侷限 難以跳脫出來了 你不要跟我說你還是求知若渴 一直在追求英語文造詣更上一層樓 將來會去環遊世界拓展視野國際觀 這些都還是在地球人世俗化的框架內 我們都只是在培養皿中 打從我們的生命我們的精神裝進臭皮囊出現在培養皿中開始 我們就被其他更早出現在這培養皿中的生命們教化未來在培養皿中該如何度過 怎麼做才能在培養皿中更 High 更 Happy甚至有志者會想留下自己的名字在培養皿的青史 即便也許有一朝一夕甚至一瞬間這培養皿可能輕易被打翻所有的生化實驗品都銷毀也未可知也無所謂 你現在已經成為你名言錦句的最大諷刺 但我們又能如何呢 我們也是莫可奈何 畢竟 當我們出現在這培養皿時 我們生命的意義甚或僅僅只是目的 老早就都被安排好了 那就是 生存 與 繁衍 本魯今天跟家人大吵一架 原因就不贅述了 吵後開始思考為什麼人們要生小孩 像之前板上很紅的養兒防老論 很多人生了小孩只是為了應付想要傳宗接代的長輩想要自己老了有人照顧 可是卻沒有想過自己生下小孩 小孩未來在這世界上是不是幸福的 如果是照以上兩種想法的話 你生小孩就只是想養個工具人而已 而小孩被迫被生下 這個社會又教我們不能隨意結束自己的生命 等於你的死活幾乎不是你的死活 被生下來的孩子們 運氣好就生活爽過無憂無慮偶爾跌跌撞撞 運氣不好就像我一樣 被原生家庭搞得心理扭曲 心裡的負面想法像病菌一樣一直滋生 好啦講到最後越來越悲觀了 ㄅ歉 所以我只是好奇 你想生小孩嗎為什麼想生小孩
0,21,mario1999an (高爾),[閒聊] 為什麼要生小孩,Mon Dec 28 23:01:54 2020,本魯今天跟家人大吵一架原因就不贅述了吵後開始思考為什麼人們要生小孩像之前板上很紅的養兒防老論很多人生了小孩只是為了應付想要傳宗接代的長輩想要自己老了有人照顧可是卻沒有想過自己生下小孩 小孩未來在這世界上是不是幸福的如果是照以上兩種想法的話你生小孩就只是想養個工具人而已而小孩被迫被生下 這個社會又教我們不能隨意結束自己的生命等於你的死活幾乎不是你的死活被生下來的孩子們運氣好就生活爽過無憂無慮偶爾跌跌撞撞運氣不好就像我一樣 被原生家庭搞得心理扭曲 心裡的負面想法像病菌一樣一直滋生好啦講到最後越來越悲觀了ㄅ歉所以我只是好奇 你想生小孩嗎為什麼想生小孩
0,22,q910044 (弦樂五重奏),[閒聊] 親戚晚輩8+9比我還早生小孩,Mon Oct 26 11:31:54 2020,看到以前小時從可愛嬰兒看到長大長歪變89的親戚成年沒多久就抱小孩了沒想到我將來的小孩會比他小孩還小得多遠觀我另一邊親戚有一族全是高端上市工程師經理都很晚生生小孩盡心培養會講雙語還有外國籍也在台北市買了自己的房子大概是我回國最聊得來的一群那親戚兄弟姊妹中間出一個叛徒女89很早跟人私奔生了小孩然後女兒小孩竟然全都走上89後路早早就進入社會大學了女兒還跟她媽人生經歷快一模一樣有些血親明明當初看很近結果一轉眼互相隔的如此遙遠階級複製血淋淋在我眼前一幕又一幕的重演
0,23,joanzkow (星浪),[新聞] 斗內換絕情／巨乳直播主嬌嗔「想生小孩」,Mon Oct 5 15:23:47 2020,斗內換絕情1巨乳直播主嬌嗔想生小孩 逾20純情刷手遭榨乾CTWANT林淳芳 週一 上午600近年來直播文化盛行不少素人靠著網路致富扭轉命運但也有不肖直播主為了賺錢使出渾身解數本刊接獲3名男子投訴指初樂直播平台上的一位巨乳直播主凡凡以交往為誘餌每日甜言攻勢騙取粉絲大量斗內本刊調查有近20個想脫單的男子遭直播主凡凡騙財騙感情雖然他們知道錢已拿不回來但想以自身慘痛經驗喚醒天底下無數曠男網路斗內無真愛一名擔任工程師的小凱29歲因單身多年眼看而立之年即將到來想替自己找個伴因此在6月間下載了初樂直到7月初他滑到一位名叫凡凡的俏麗正妹凡凡不只皮膚白皙五官立體身材極佳還有傲人的上圍小凱禁錮已久的心再次被喚醒他對凡凡按下了愛心過沒多久凡凡也回按了愛心兩人就這麼在初樂上配對成功開始有了交集小凱從沒想過會受到正妹青睞抱著既期待又怕受傷害的心情向凡凡打了招呼對方也大方回應還主動留下自己的聯繫方式兩人開始在網路上熱絡聊天凡凡不只照三餐噓寒問暖陪小凱談心甚至常送出自己的自拍照強調因為自己身世坎坷所以想戀愛結婚生孩子種種積極的柔情攻勢讓小凱為凡凡著迷我幾乎都愛上她了她給我的感覺好像也是愛著我的兩人每天的對話彷彿一對熱戀中的情侶讓小凱無法自拔加上凡凡悲慘的經歷讓小凱短短一個月就斗內了近10萬元但凡凡卻需索無度要求的斗內金額越來越高無力負擔的小凱決定不再斗內換來的卻是凡凡的翻臉直到某天小凱收到其他受害者的私訊他才知道有將近20個想脫單的男子遭凡凡騙財騙感情才恍然大悟自己早已成為盤子律師葉書佑表示近年網路直播主以情緒勒索粉絲進行詐騙相當盛行被害者乖乖奉上金錢卻礙於證據不足就算提告也無法拿回錢財凡凡同時對多位男子以交往為承諾再利用兩人關係要求對方斗內最後卻因為對方沒錢而終止關係已明顯涉及刑法詐欺罪受害者可以備妥與直播主的對話紀錄向對方提告本刊致電凡凡詢問回應但電話始終無人接聽記者再留言傳簡訊給凡凡直至截稿為止都未有回應本刊另傳電子郵件至初樂直播公司但截稿前也未獲得初樂回應斗內換絕情2巨乳妹要求在直播上告白 暈船純情男刷一排不手軟斗內換絕情3純情男沒錢贖裸照 巨乳直播主秒變臉連5萬都沒有斗內換絕情4甜蜜訊息複製貼上孝子聯盟至少20人 巨乳直播主嗆又沒拿刀逼你報導影片這種事真的層出不窮以前看這種新聞都覺得男生自找的現在看忽然覺得男生很可憐愛情真是太有魔力了也可怕的會讓人因此墮入不可自拔的深淵令人難過的是未來還是會不斷發生吧
0,24,voncroy (niflheim一律打趴武力放),[討論] 如果男人可以自己生小孩，你會去生嗎？,Sun Oct 4 00:47:34 2020,如題地球上曾經有物種是在動物胃裡孵化未來如果男人可以生小孩並且可以自由交易精卵子各位男士會去自己生一個嗎
